#Coverage	Number of genomic locations
0.0	164.0
1.0	270.0
3.0	34.0
4.0	17.0
5.0	29.0
6.0	5.0
7.0	17.0
8.0	61.0
9.0	145.0
10.0	67.0
11.0	20.0
12.0	83.0
13.0	67.0
14.0	182.0
15.0	48.0
16.0	11.0
17.0	20.0
18.0	30.0
19.0	82.0
20.0	28.0
21.0	26.0
22.0	6.0
23.0	30.0
24.0	166.0
25.0	75.0
26.0	62.0
27.0	137.0
28.0	84.0
29.0	183.0
30.0	34.0
31.0	89.0
32.0	178.0
33.0	121.0
34.0	73.0
35.0	173.0
36.0	141.0
37.0	236.0
38.0	75.0
39.0	97.0
40.0	28.0
41.0	56.0
42.0	120.0
43.0	178.0
44.0	165.0
45.0	31.0
46.0	67.0
47.0	28.0
48.0	47.0
49.0	13.0
50.0	36.0
51.0	20.0
52.0	11.0
53.0	5.0
54.0	1.0
55.0	12.0
56.0	7.0
58.0	18.0
59.0	18.0
60.0	14.0
61.0	19.0
62.0	19.0
63.0	7.0
64.0	46.0
65.0	210.0
66.0	68.0
67.0	70.0
68.0	36.0
69.0	70.0
70.0	46.0
71.0	68.0
72.0	207.0
73.0	93.0
74.0	50.0
75.0	27.0
76.0	44.0
77.0	97.0
78.0	94.0
79.0	83.0
80.0	44.0
81.0	97.0
82.0	123.0
83.0	30.0
84.0	4.0
85.0	4.0
86.0	24.0
87.0	49.0
88.0	64.0
89.0	39.0
90.0	25.0
91.0	29.0
92.0	94.0
93.0	182.0
94.0	291.0
95.0	172.0
96.0	297.0
97.0	173.0
98.0	102.0
99.0	26.0
100.0	35.0
101.0	53.0
102.0	89.0
103.0	59.0
104.0	53.0
105.0	31.0
106.0	54.0
107.0	29.0
108.0	26.0
109.0	95.0
110.0	65.0
111.0	30.0
112.0	105.0
113.0	114.0
114.0	133.0
115.0	100.0
116.0	218.0
117.0	96.0
118.0	88.0
119.0	95.0
120.0	106.0
121.0	137.0
122.0	180.0
123.0	169.0
124.0	58.0
125.0	83.0
126.0	117.0
127.0	77.0
128.0	71.0
129.0	61.0
130.0	72.0
131.0	113.0
132.0	97.0
133.0	53.0
134.0	41.0
135.0	58.0
136.0	102.0
137.0	74.0
138.0	66.0
139.0	99.0
140.0	94.0
141.0	94.0
142.0	46.0
143.0	64.0
144.0	18.0
145.0	69.0
146.0	103.0
147.0	102.0
148.0	114.0
149.0	166.0
150.0	79.0
151.0	51.0
152.0	29.0
153.0	50.0
154.0	48.0
155.0	57.0
156.0	66.0
157.0	111.0
158.0	133.0
159.0	181.0
160.0	109.0
161.0	69.0
162.0	64.0
163.0	34.0
164.0	37.0
165.0	50.0
166.0	42.0
167.0	24.0
168.0	14.0
169.0	24.0
170.0	17.0
171.0	23.0
172.0	24.0
173.0	20.0
174.0	47.0
175.0	52.0
176.0	129.0
177.0	156.0
178.0	284.0
179.0	203.0
180.0	64.0
181.0	59.0
182.0	50.0
183.0	59.0
184.0	69.0
185.0	70.0
186.0	52.0
187.0	98.0
188.0	86.0
189.0	109.0
190.0	40.0
191.0	18.0
192.0	34.0
193.0	30.0
194.0	25.0
195.0	8.0
196.0	36.0
197.0	23.0
198.0	25.0
199.0	28.0
200.0	37.0
201.0	66.0
202.0	102.0
203.0	112.0
204.0	103.0
205.0	43.0
206.0	65.0
207.0	112.0
208.0	60.0
