#Coverage	Number of genomic locations
0.0	930.0
1.0	312.0
2.0	92.0
3.0	9.0
4.0	13.0
5.0	2.0
6.0	1.0
7.0	4.0
8.0	56.0
9.0	1.0
12.0	1.0
22.0	1.0
35.0	3.0
36.0	2.0
39.0	1.0
41.0	2.0
43.0	1.0
53.0	1.0
54.0	2.0
57.0	1.0
58.0	2.0
59.0	5.0
60.0	4.0
61.0	7.0
62.0	21.0
63.0	36.0
64.0	60.0
65.0	8.0
67.0	2.0
72.0	2.0
73.0	2.0
76.0	1.0
77.0	10.0
78.0	26.0
79.0	17.0
80.0	25.0
81.0	14.0
82.0	18.0
83.0	14.0
84.0	2.0
85.0	1.0
86.0	2.0
88.0	1.0
89.0	1.0
91.0	2.0
93.0	1.0
96.0	4.0
97.0	6.0
98.0	8.0
99.0	16.0
100.0	30.0
101.0	33.0
102.0	24.0
103.0	21.0
104.0	2.0
106.0	4.0
107.0	4.0
108.0	1.0
110.0	2.0
111.0	2.0
112.0	3.0
113.0	3.0
114.0	2.0
115.0	2.0
116.0	4.0
117.0	2.0
118.0	8.0
119.0	7.0
120.0	15.0
121.0	24.0
122.0	21.0
123.0	1.0
125.0	7.0
126.0	4.0
127.0	5.0
128.0	3.0
129.0	7.0
130.0	6.0
131.0	6.0
132.0	21.0
133.0	13.0
134.0	16.0
135.0	4.0
136.0	3.0
137.0	5.0
138.0	1.0
139.0	5.0
142.0	2.0
143.0	3.0
144.0	1.0
145.0	1.0
146.0	2.0
147.0	3.0
148.0	3.0
149.0	4.0
150.0	4.0
151.0	8.0
152.0	4.0
153.0	14.0
154.0	10.0
155.0	13.0
156.0	15.0
157.0	34.0
158.0	27.0
159.0	41.0
160.0	64.0
161.0	43.0
162.0	1.0
164.0	1.0
187.0	1.0
201.0	1.0
203.0	1.0
207.0	1.0
210.0	2.0
214.0	1.0
215.0	1.0
216.0	3.0
217.0	4.0
218.0	6.0
219.0	6.0
220.0	6.0
221.0	9.0
222.0	16.0
223.0	20.0
224.0	30.0
225.0	27.0
226.0	52.0
227.0	18.0
228.0	6.0
229.0	3.0
230.0	7.0
231.0	7.0
232.0	3.0
233.0	10.0
234.0	10.0
235.0	10.0
236.0	18.0
237.0	10.0
238.0	15.0
239.0	13.0
240.0	8.0
241.0	7.0
242.0	14.0
243.0	9.0
244.0	13.0
245.0	16.0
246.0	13.0
247.0	8.0
248.0	7.0
249.0	6.0
263.0	1.0
265.0	1.0
274.0	1.0
290.0	1.0
291.0	1.0
292.0	2.0
299.0	1.0
304.0	3.0
305.0	2.0
306.0	2.0
307.0	7.0
308.0	2.0
309.0	7.0
310.0	8.0
311.0	13.0
312.0	18.0
313.0	16.0
314.0	27.0
315.0	23.0
316.0	27.0
317.0	8.0
326.0	1.0
335.0	1.0
354.0	1.0
362.0	1.0
387.0	1.0
393.0	1.0
396.0	1.0
400.0	2.0
410.0	1.0
412.0	1.0
413.0	1.0
418.0	1.0
419.0	1.0
421.0	1.0
422.0	1.0
426.0	1.0
428.0	1.0
431.0	2.0
433.0	2.0
435.0	3.0
436.0	2.0
437.0	2.0
441.0	4.0
442.0	2.0
445.0	3.0
446.0	1.0
447.0	2.0
448.0	2.0
449.0	10.0
450.0	11.0
451.0	10.0
452.0	11.0
453.0	17.0
454.0	9.0
455.0	13.0
456.0	19.0
457.0	19.0
458.0	21.0
459.0	32.0
460.0	27.0
461.0	42.0
462.0	25.0
463.0	12.0
464.0	11.0
465.0	2.0
466.0	2.0
467.0	1.0
469.0	2.0
470.0	1.0
472.0	3.0
475.0	1.0
476.0	1.0
477.0	3.0
478.0	1.0
480.0	3.0
481.0	3.0
482.0	2.0
483.0	1.0
484.0	2.0
485.0	1.0
486.0	2.0
487.0	2.0
488.0	5.0
489.0	1.0
490.0	3.0
491.0	1.0
492.0	1.0
493.0	2.0
494.0	3.0
495.0	13.0
496.0	9.0
497.0	9.0
498.0	18.0
499.0	14.0
500.0	16.0
501.0	10.0
502.0	15.0
503.0	14.0
504.0	11.0
505.0	11.0
506.0	4.0
507.0	4.0
508.0	3.0
509.0	4.0
510.0	4.0
511.0	5.0
512.0	10.0
513.0	9.0
514.0	13.0
515.0	10.0
516.0	8.0
517.0	5.0
518.0	12.0
519.0	11.0
520.0	13.0
521.0	8.0
522.0	11.0
523.0	6.0
524.0	5.0
525.0	3.0
526.0	3.0
527.0	2.0
529.0	3.0
530.0	2.0
531.0	1.0
532.0	3.0
533.0	2.0
534.0	1.0
535.0	6.0
536.0	10.0
537.0	10.0
538.0	6.0
539.0	5.0
540.0	7.0
541.0	16.0
542.0	13.0
543.0	15.0
544.0	11.0
545.0	16.0
546.0	8.0
547.0	5.0
548.0	5.0
549.0	1.0
550.0	4.0
551.0	2.0
552.0	2.0
553.0	3.0
554.0	1.0
555.0	1.0
557.0	1.0
558.0	2.0
559.0	2.0
560.0	5.0
561.0	2.0
562.0	3.0
563.0	3.0
564.0	2.0
565.0	2.0
566.0	8.0
567.0	4.0
568.0	4.0
569.0	7.0
570.0	5.0
571.0	7.0
572.0	13.0
573.0	10.0
574.0	17.0
575.0	11.0
576.0	24.0
577.0	24.0
578.0	19.0
