Module	Section	Sample Name	Source
QualiMap	genome_results	SAMPLE1_PE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/14/SAMPLE1_PE/genome_results.txt
QualiMap	genome_results	SAMPLE1_SE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/13/SAMPLE1_SE/genome_results.txt
QualiMap	coverage_histogram	SAMPLE1_PE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/14/SAMPLE1_PE/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMPLE1_SE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/13/SAMPLE1_SE/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	SAMPLE1_PE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/14/SAMPLE1_PE/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	SAMPLE1_PE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/14/SAMPLE1_PE/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMPLE1_SE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/13/SAMPLE1_SE/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Samtools	stats	SAMPLE1_SE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/11/SAMPLE1_SE.stats
Samtools	stats	SAMPLE1_PE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/12/SAMPLE1_PE.stats
fastp	all_sections	SAMPLE1_SE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/6/SAMPLE1_SE.fastp.json
fastp	all_sections	SAMPLE1_PE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/7/SAMPLE1_PE.fastp.json
FastQC	all_sections	SAMPLE1_PE_2	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/5/SAMPLE1_PE_2_fastqc.zip
FastQC	all_sections	SAMPLE1_PE_1	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/4/SAMPLE1_PE_1_fastqc.zip
FastQC	all_sections	SAMPLE1_SE	/scicomp/scratch/xuz1/nextflow/work/07/061492854f5ac7df0c60c2d8f52b6f/8/SAMPLE1_SE_fastqc.zip
